UDI,Type_L,Type_M,Type_H,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_diff_K,Power_proxy,wear_raw,RUL,Machine failure,split
1,0,1,0,-0.9523894433829583,-0.9473598877173399,0.14017979366855685,0.2840905706019339,-1.6959837443286894,0.49884932260947434,0.6275409566064636,0,253.0,0,train
2,1,0,0,-0.9023934097553371,-0.8799590021118113,-0.8208994581403156,0.6371221583139501,-1.6488517007812828,0.49884932260947434,0.5132525070436454,3,250.0,0,train
3,1,0,0,-0.9523894433829583,-1.014760773322907,-0.216024404554312,0.949807278858879,-1.6174303384163453,0.398953589463793,1.3577448513979589,5,248.0,0,train
4,1,0,0,-0.9023934097553371,-0.9473598877173399,-0.6528786099219813,-0.04876778352653825,-1.5860089760514078,0.3989535894638498,-0.30977960260996673,7,246.0,0,train
5,1,0,0,-0.9023934097553371,-0.8799590021118113,-0.8208994581403156,0.001665300432321206,-1.55458761368647,0.49884932260947434,-0.3369523428406436,9,244.0,0,train
6,0,1,0,-0.9523894433829583,-0.9473598877173399,-0.7066452813518483,0.193311019475987,-1.5231662513215325,0.49884932260947434,-0.012269247491726882,11,242.0,0,train
7,1,0,0,-0.9523894433829583,-0.9473598877173399,0.18722563116969046,0.24374410343484648,-1.4760342077741262,0.49884932260947434,0.5965247353061222,14,239.0,0,test
8,1,0,0,-0.9523894433829583,-0.9473598877173399,-0.02112022062104414,0.021838534015865278,-1.4446128454091884,0.49884932260947434,0.14855311876242747,16,237.0,0,train
9,0,1,0,-0.8523973761276875,-0.8799590021118113,0.9197965294016283,-1.1482090138296743,-1.413191483044251,0.398953589463793,-1.1654381700220355,18,235.0,0,train
10,0,1,0,-0.7524053088724167,-0.6777563452951486,1.4171382401278978,-1.2087287145803058,-1.3660594394968446,0.49884932260947434,-1.06270891789068,21,232.0,0,train
11,0,0,1,-0.8024013425000663,-0.7451572309007156,1.6926924312059661,-1.6222800030429536,-1.318927395949438,0.49884932260947434,-1.65295642719775,24,229.0,0,train
12,0,0,1,-0.7024092752447672,-0.6103554596895817,-0.720086949209315,0.43538982247851227,-1.240373990037094,0.49884932260947434,0.30703680825598656,29,224.0,0,test
13,0,1,0,-0.7024092752447672,-0.6103554596895817,-1.2846369992229185,1.1212797643190013,-1.1618205841247502,0.49884932260947434,0.8230792541182957,34,219.0,0,train
14,0,1,0,-0.7024092752447672,-0.542954574084053,1.4238590740566313,-1.006996378744868,-1.1146885405773437,0.5987450557550988,-0.7260928202182383,37,216.0,0,train
15,1,0,0,-0.7024092752447672,-0.542954574084053,2.455507082117204,-2.0560045250891448,-1.0675564970299374,0.5987450557550988,-2.1741746331039957,40,213.0,0,train
16,1,0,0,-0.7024092752447672,-0.542954574084053,0.07969228830995648,0.84894111094116,-1.0361351346649996,0.5987450557550988,1.418282074430395,42,211.0,0,train
17,0,1,0,-0.7024092752447672,-0.542954574084053,-1.472820349227453,0.6673820086892662,-1.004713772300062,0.5987450557550988,0.12048899763529425,44,209.0,0,test
18,0,1,0,-0.652413241617146,-0.542954574084053,-0.8074577902828489,0.5665158407715473,-0.9575817287526557,0.49884932260947434,0.42752658513070985,47,206.0,0,train
19,0,0,1,-0.6024172079894964,-0.542954574084053,-1.5064245188711198,1.4642247352392455,-0.9104496852052493,0.398953589463793,1.0870526010999781,50,203.0,0,train
20,0,1,0,-0.5524211743618752,-0.47555368847848606,0.6845673418959601,-0.7548309589505707,-0.8318962792929053,0.3989535894638498,-0.651331841805794,55,198.0,0,val
21,0,0,1,-0.5524211743618752,-0.47555368847848606,-1.042686977788517,0.27400395381016257,-0.7847642357454989,0.3989535894638498,-0.1076374186717032,58,195.0,0,train
22,1,0,0,-0.6024172079894964,-0.47555368847848606,-0.5386244331335139,0.48582290643737175,-0.7062108298331549,0.49884932260947434,0.4911692641895079,63,190.0,0,train
23,0,1,0,-0.5524211743618752,-0.47555368847848606,0.3418048115305581,-0.9363900612024648,-0.6747894674682173,0.3989535894638498,-1.0829614752477947,65,188.0,0,train
24,1,0,0,-0.5024251407342256,-0.4081528028729574,1.5313924169163653,-1.4407209007910595,-0.6276574239208109,0.398953589463793,-1.4046349619785694,68,185.0,0,train
25,0,1,0,-0.5024251407342256,-0.4081528028729574,0.20738813295589056,-0.27067335294552014,-0.5962360615558733,0.398953589463793,-0.15433427595701568,70,183.0,0,test
26,1,0,0,-0.5024251407342256,-0.3407519172673904,2.2236383115759026,-1.6827997037935847,-0.5491040180084669,0.49884932260947434,-1.5790101517551842,73,180.0,0,train
27,1,0,0,-0.452429107106576,-0.3407519172673904,-0.12193272955204475,-0.09920086748539772,-0.5176826556435293,0.398953589463793,-0.08314840587121734,75,178.0,0,train
28,0,0,1,-0.452429107106576,-0.4081528028729574,1.887596615139234,-1.55167368550055,-0.48626129327859174,0.2990578563181117,-1.4650188291578505,77,176.0,0,train
29,1,0,0,-0.452429107106576,-0.4081528028729574,-0.612553606349581,0.42530320568674096,-0.40770788736624775,0.2990578563181117,0.3611810091600769,82,171.0,0,train
30,1,0,0,-0.5024251407342256,-0.4081528028729574,1.094538211548696,-0.996909761953096,-0.3762865250013101,0.398953589463793,-0.8507615440913999,84,169.0,0,train
31,0,1,0,-0.452429107106576,-0.3407519172673904,-1.2846369992229185,0.8287678773576166,-0.3448651626363725,0.398953589463793,0.45089418325501,86,167.0,0,train
32,1,0,0,-0.5024251407342256,-0.4081528028729574,1.8002257740657002,-1.4608941343746031,-0.2977331190889661,0.398953589463793,-1.3405705543235977,89,164.0,0,val
33,1,0,0,-0.5024251407342256,-0.4081528028729574,-0.7469702849242486,0.838854494149388,-0.2663117567240285,0.398953589463793,0.8340825365820749,91,162.0,0,test
34,1,0,0,-0.5524211743618752,-0.47555368847848606,0.9063548615441614,-0.7548309589505707,-0.23489039435909093,0.3989535894638498,-0.548535496488683,93,160.0,0,train
35,0,1,0,-0.6024172079894964,-0.6103554596895817,0.19394646509842384,-0.5329253895315887,-0.2034690319941533,0.2990578563181685,-0.5499923770936432,95,158.0,0,train
36,0,1,0,-0.6024172079894964,-0.542954574084053,-0.5251827652760472,0.869114344524704,-0.15633698844674693,0.398953589463793,1.0286048515667616,98,155.0,0,train
37,0,1,0,-0.5524211743618752,-0.542954574084053,0.3418048115305581,-0.33119305369615093,-0.10920494489934052,0.2990578563181685,-0.17375296086260614,101,152.0,0,train
38,1,0,0,-0.6024172079894964,-0.6103554596895817,-0.612553606349581,-0.07902763390185365,-0.06207290135193413,0.2990578563181685,-0.3284410929906112,104,149.0,0,val
39,0,0,1,-0.5524211743618752,-0.542954574084053,-1.0158036420735834,1.0809332971519139,-0.030651538986996525,0.2990578563181685,0.9661219261474386,106,147.0,0,train
40,1,0,0,-0.6024172079894964,-0.6103554596895817,-1.2107078260068513,1.2624923994038078,0.047901866925347474,0.2990578563181685,1.058106683817211,111,142.0,0,val
41,1,0,0,-0.6024172079894964,-0.6103554596895817,-1.130057818862051,0.5463426071880032,0.07932322929028507,0.2990578563181685,0.19162694401698135,113,140.0,0,train
42,1,0,0,-0.6024172079894964,-0.6103554596895817,-1.0897328152896506,1.0910199139436854,0.11074459165522267,0.2990578563181685,0.9257797520271842,115,138.0,0,train
43,0,1,0,-0.6024172079894964,-0.6103554596895817,-1.0897328152896506,0.9195474284835635,0.14216595402016027,0.2990578563181685,0.7028770194682358,117,136.0,0,train
44,0,0,1,-0.6024172079894964,-0.542954574084053,-1.0628494795747172,0.859027727732932,0.18929799756756668,0.398953589463793,0.642799863995261,120,133.0,0,train
45,0,1,0,-0.6024172079894964,-0.6103554596895817,-0.3907660867013797,0.7581615598152132,0.26785140347991065,0.2990578563181685,0.9665724089660774,125,128.0,0,train
46,1,0,0,-0.6024172079894964,-0.6103554596895817,-0.27651190991291236,0.9195474284835635,0.31498344702731707,0.2990578563181685,1.2723160564505092,128,125.0,0,train
47,0,1,0,-0.652413241617146,-0.6777563452951486,2.102663300858702,-1.4306342839992874,0.34640480939225465,0.2990578563181685,-1.177591621384469,130,123.0,0,train
48,1,0,0,-0.6024172079894964,-0.6103554596895817,-0.7536911188529819,0.6371221583139501,0.39353685293966106,0.2990578563181685,0.5576298570500066,133,120.0,0,train
49,0,0,1,-0.6024172079894964,-0.542954574084053,-0.7066452813518483,1.4037050344886142,0.42495821530459865,0.398953589463793,1.6267214330887827,135,118.0,0,test
50,0,1,0,-0.5524211743618752,-0.542954574084053,-0.7940161224253821,0.41521658889496893,0.5035116212169427,0.2990578563181685,0.2332630581482204,140,113.0,0,train
51,1,0,0,-0.5524211743618752,-0.6103554596895817,2.455507082117204,-2.741894466929632,0.5506436647643491,0.19916212317254398,-3.4095902166288137,143,110.0,1,train
52,1,0,0,-0.5524211743618752,-0.6103554596895817,-0.98892030635865,1.504571202406333,0.5820650271292866,0.19916212317254398,1.542299035927653,145,108.0,0,val
53,0,0,1,-0.6024172079894964,-0.6777563452951486,-0.22274523848304537,0.38495673851965284,0.6134863894942243,0.1991621231724872,0.5495019968328585,147,106.0,0,train
54,1,0,0,-0.652413241617146,-0.6777563452951486,0.23427146867082407,-0.49257892236450135,0.6920397954065682,0.2990578563181685,-0.4700364691556166,152,101.0,0,train
55,1,0,0,-0.652413241617146,-0.6777563452951486,1.0810965436912292,-0.996909761953096,0.7234611577715059,0.2990578563181685,-0.8565315580663088,154,99.0,0,train
56,1,0,0,-0.6024172079894964,-0.6103554596895817,-0.12193272955204475,0.07227161797472474,0.7548825201364434,0.2990578563181685,0.16321777222025308,156,97.0,0,train
57,1,0,0,-0.6024172079894964,-0.6103554596895817,-0.35716191705771283,0.24374410343484648,0.7863038825013811,0.2990578563181685,0.2673463965116365,158,95.0,0,train
58,1,0,0,-0.6024172079894964,-0.6103554596895817,-0.11521189562331137,0.031925150807636596,0.8177252448663187,0.2990578563181685,0.10911191027945136,160,93.0,0,val
59,0,1,0,-0.6024172079894964,-0.6777563452951486,0.8794715258292279,-1.0574294627037275,0.8491466072312562,0.1991621231724872,-1.0386032947230777,162,91.0,0,test
60,1,0,0,-0.6024172079894964,-0.6103554596895817,-1.0225244760023169,1.4541381184474735,0.8962786507786626,0.2990578563181685,1.44995005810664,165,88.0,0,train
61,1,0,0,-0.6024172079894964,-0.6103554596895817,-0.9217119670713163,1.2725790161955797,0.9277000131436003,0.2990578563181685,1.2878337518415017,167,86.0,0,train
62,0,1,0,-0.6024172079894964,-0.6777563452951486,0.41573398474662515,-0.17989380181957257,0.9591213755085378,0.1991621231724872,0.0938242486681894,169,84.0,0,train
